SPION,Core size (nm),M,r1,r2,KOW,KOA,MW,AMW,Sv,Se,Sp,Ss,Mv,Me,Mp,Ms,nAT,nSK,nBT,nBO,nBM,SCBO,RBN,RBF,nH,nC,nN,nO,nS,ZM1,ZM1V,ZM2,ZM2V,Qindex,SNar,HNar,GNar,Xt,Dz,Ram,Pol,LPRS,VDA,MSD,SMTI,SMTIV,GMTI,GMTIV,Xu,SPI,W,WA,Har,Har2,QW,TI1,TI2,HyDp,RHyDp,w,ww,Rww,D/D,Wap,WhetZ,Whetm,Whetv,Whete,Whetp,J,JhetZ,Jhetm,Jhetv,Jhete,Jhetp,MAXDN,MAXDP,DELS,TIE,S0K,S1K,S2K,S3K,PHI,BLI,PW2,PW3,PW4,PW5,PJI2,CSI,ECC,AECC,DECC,MDDD,UNIP,CENT,VAR,BAC,Lop,ICR,T(O..O),T(O..S),Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,MLOGP2,ALOGP,ALOGP2,BLTF96,BLTD48,BLTA96,ALOGPS_logP,ALOGPS_logS,Category,Sub Category
Cationic derivate of chitosan -CCh -3 ,11.90,61.00,2.00,227.00,-4.28,29.71,485.56,7.14,36.69,70.37,38.65,96.50,0.54,1.03,0.57,2.92,68.00,33.00,70.00,35.00,0.00,35.00,6.00,0.09,35.00,18.00,3.00,12.00,0.00,174.00,526.00,211.00,425.00,24.00,21.33,1.69,1.91,0.22,79.50,15.00,63.00,173.07,193.09,0.21,13133.00,24493.00,13133.00,45023.00,30.19,25.07,3186.00,6.03,64.82,139.25,2522.00,128.90,4.46,14285.00,79.38,5074.00,32335.00,35.18,336.49,19687.00,2671.29,2672.58,4632.27,2678.59,5010.32,1.71,2.04,2.04,1.18,2.03,1.09,2.87,4.79,87.96,136.22,166.47,27.01,10.99,5.33,9.00,0.92,0.60,0.39,0.19,0.10,0.88,791.00,382.00,11.58,2.00,32.22,142.00,1686.00,121.00,126.00,0.93,2.88,453.00,0.00,0.00,9.96,104.18,265.82,265.82,-4.80,23.08,-5.99,35.85,2.69,3.24,3.57,-2.84,-0.60,Ploymer,ChitoDex
SPION-CChanionic derivate of chitosan -Ach -1,10.90,59.00,1.60,369.00,-2.20,12.75,179.20,7.17,13.14,26.04,13.85,39.67,0.53,1.04,0.55,3.31,25.00,12.00,25.00,12.00,0.00,12.00,1.00,0.04,13.00,6.00,1.00,5.00,0.00,58.00,194.00,68.00,142.00,8.00,6.88,1.57,1.77,0.38,29.50,5.00,19.00,40.73,30.33,0.26,728.00,1624.00,606.00,2798.00,11.64,7.80,182.00,2.76,19.34,31.00,144.17,0.00,1.27,393.00,22.41,322.00,1039.00,10.32,41.03,496.00,158.68,158.74,250.74,159.03,269.02,2.63,3.00,3.00,1.98,2.99,1.87,2.68,3.20,29.06,31.54,43.02,9.85,3.65,1.77,3.00,0.91,0.59,0.38,0.17,0.08,0.50,108.00,57.00,4.75,0.63,5.33,24.00,76.00,18.00,27.00,1.12,1.48,36.00,0.00,0.00,4.88,37.58,116.17,116.17,-2.48,6.17,-2.80,7.86,0.72,1.04,1.25,-2.73,0.49,Ploymer,ChitoDex
SPION-CChanionic derivate of chitosan -Ach -3,10.90,59.00,1.60,369.00,-4.28,29.71,485.56,7.14,36.69,70.37,38.65,96.50,0.54,1.03,0.57,2.92,68.00,33.00,70.00,35.00,0.00,35.00,6.00,0.09,35.00,18.00,3.00,12.00,0.00,174.00,526.00,211.00,425.00,24.00,21.33,1.69,1.91,0.22,79.50,15.00,63.00,173.07,193.09,0.21,13133.00,24493.00,13133.00,45023.00,30.19,25.07,3186.00,6.03,64.82,139.25,2522.00,128.90,4.46,14285.00,79.38,5074.00,32335.00,35.18,336.49,19687.00,2671.29,2672.58,4632.27,2678.59,5010.32,1.71,2.04,2.04,1.18,2.03,1.09,2.87,4.79,87.96,136.22,166.47,27.01,10.99,5.33,9.00,0.92,0.60,0.39,0.19,0.10,0.88,791.00,382.00,11.58,2.00,32.22,142.00,1686.00,121.00,126.00,0.93,2.88,453.00,0.00,0.00,9.96,104.18,265.82,265.82,-4.80,23.08,-5.99,35.85,2.69,3.24,3.57,-2.84,-0.60,Ploymer,ChitoDex
Reduced dextran - 1,12.00,"57.31
",18.40,91.00,-2.89,9.16,180.18,7.51,12.66,25.27,13.30,41.67,0.53,1.05,0.55,3.47,24.00,12.00,24.00,12.00,0.00,12.00,1.00,0.04,12.00,6.00,0.00,6.00,0.00,58.00,210.00,68.00,148.00,8.00,6.88,1.57,1.77,0.38,30.00,5.00,19.00,40.73,30.33,0.26,728.00,1712.00,606.00,3086.00,11.64,7.80,182.00,2.76,19.34,31.00,144.17,0.00,1.27,393.00,22.41,322.00,1039.00,10.32,41.03,496.00,157.50,157.56,256.40,157.83,275.62,2.63,3.01,3.01,1.95,3.01,1.83,2.90,3.12,31.47,31.77,43.02,9.85,3.65,1.77,3.00,0.89,0.59,0.38,0.17,0.08,0.50,108.00,57.00,4.75,0.63,5.33,24.00,76.00,18.00,27.00,1.12,1.48,55.00,0.00,0.00,3.76,35.92,110.38,110.38,-2.48,6.17,-2.51,6.32,0.72,1.04,1.25,-2.57,0.64,Ploymer,ChitoDex
Reduced dextran -3,12.00,"57.31
",18.40,91.00,-7.87,19.91,504.50,7.64,35.75,69.37,37.45,108.00,0.54,1.05,0.57,3.18,66.00,34.00,68.00,36.00,0.00,36.00,7.00,0.10,32.00,18.00,0.00,16.00,0.00,178.00,602.00,214.00,454.00,24.00,22.02,1.70,1.91,0.21,84.00,15.00,63.00,182.66,219.12,0.23,15394.00,30738.00,15498.00,60914.00,31.40,26.01,3725.00,6.64,65.49,140.66,3101.83,154.00,5.68,18321.00,79.83,5773.00,40591.00,37.04,367.51,22452.00,3118.00,3119.55,5731.98,3126.28,6250.27,1.58,1.89,1.88,1.03,1.88,0.95,3.16,4.21,101.53,146.00,172.97,27.96,11.62,5.87,9.55,0.88,0.61,0.38,0.18,0.09,1.00,884.00,427.00,12.56,2.08,34.60,157.00,2112.00,138.00,123.00,0.83,3.03,920.00,0.00,0.00,7.88,100.75,268.68,268.68,-5.50,30.25,-6.01,36.09,3.29,3.91,4.27,-2.77,-0.12,Ploymer,ChitoDex
Reduced dextran - 5,12.00,"57.31
",18.40,91.00,-12.86,-,828.81,7.67,58.85,113.48,61.61,174.33,0.54,1.05,0.57,3.11,108.00,56.00,112.00,60.00,0.00,60.00,13.00,0.12,52.00,30.00,0.00,26.00,0.00,298.00,994.00,360.00,760.00,40.00,37.17,1.73,1.94,0.16,138.00,25.00,107.00,352.80,555.00,0.21,65268.00,126204.00,67830.00,252150.00,47.37,45.60,15540.00,10.09,113.66,280.44,13114.17,785.89,9.09,114930.00,141.00,23280.00,243940.00,65.55,1027.31,221906.00,12832.50,12839.41,24935.81,12869.42,27362.17,1.15,1.39,1.39,0.72,1.38,0.66,3.29,4.60,176.82,272.66,323.21,46.06,19.58,9.97,16.10,0.88,0.61,0.38,0.18,0.09,1.00,2378.00,1126.00,20.11,3.19,93.36,400.00,8680.00,374.00,291.00,0.73,3.68,3625.00,0.00,0.00,12.35,165.58,426.98,426.98,-8.92,79.54,-9.50,90.27,-3.87,-4.09,-4.15,-2.71,-0.65,Ploymer,ChitoDex
Fe3O4 NP_DMSA22,"22
",34.50,"14
","80
",-1.01,11.55,182.24,11.39,10.02,17.11,11.40,38.44,0.63,1.07,0.71,3.84,16.00,10.00,15.00,9.00,2.00,11.00,3.00,0.20,6.00,4.00,0.00,4.00,2.00,42.00,172.62,45.00,124.33,4.00,4.39,1.36,1.55,0.48,24.00,4.00,12.00,31.66,24.20,0.31,436.00,1108.40,313.00,1742.70,9.89,7.44,121.00,2.69,13.99,21.80,121.00,-11.07,2.23,257.00,16.07,121.00,257.00,16.07,45.00,121.00,94.00,94.01,136.30,104.06,137.33,3.81,4.74,4.74,3.47,4.33,3.46,2.95,3.06,22.20,32.37,23.22,9.97,3.98,3.09,3.97,1.11,0.59,0.33,0.10,0.03,0.67,70.00,42.00,4.20,0.64,4.16,17.00,72.00,12.00,44.00,1.37,1.52,20.00,28.00,1.59,3.03,38.62,74.60,152.20,-0.35,0.13,0.44,0.20,-1.09,-0.98,-0.88,0.56,-1.87,Molecule,Hydrophobic
Fe3O4 NP_DMSA28,"28
",51.60,"43
","182
",-1.01,11.55,182.24,11.39,10.02,17.11,11.40,38.44,0.63,1.07,0.71,3.84,16.00,10.00,15.00,9.00,2.00,11.00,3.00,0.20,6.00,4.00,0.00,4.00,2.00,42.00,172.62,45.00,124.33,4.00,4.39,1.36,1.55,0.48,24.00,4.00,12.00,31.66,24.20,0.31,436.00,1108.40,313.00,1742.70,9.89,7.44,121.00,2.69,13.99,21.80,121.00,-11.07,2.23,257.00,16.07,121.00,257.00,16.07,45.00,121.00,94.00,94.01,136.30,104.06,137.33,3.81,4.74,4.74,3.47,4.33,3.46,2.95,3.06,22.20,32.37,23.22,9.97,3.98,3.09,3.97,1.11,0.59,0.33,0.10,0.03,0.67,70.00,42.00,4.20,0.64,4.16,17.00,72.00,12.00,44.00,1.37,1.52,20.00,28.00,1.59,3.03,38.62,74.60,152.20,-0.35,0.13,0.44,0.20,-1.09,-0.98,-0.88,0.56,-1.87,Molecule,Hydrophobic
Fe3O4 NP_DMSA34,"34
",74.10,"38
",312.00,-1.01,11.55,182.24,11.39,10.02,17.11,11.40,38.44,0.63,1.07,0.71,3.84,16.00,10.00,15.00,9.00,2.00,11.00,3.00,0.20,6.00,4.00,0.00,4.00,2.00,42.00,172.62,45.00,124.33,4.00,4.39,1.36,1.55,0.48,24.00,4.00,12.00,31.66,24.20,0.31,436.00,1108.40,313.00,1742.70,9.89,7.44,121.00,2.69,13.99,21.80,121.00,-11.07,2.23,257.00,16.07,121.00,257.00,16.07,45.00,121.00,94.00,94.01,136.30,104.06,137.33,3.81,4.74,4.74,3.47,4.33,3.46,2.95,3.06,22.20,32.37,23.22,9.97,3.98,3.09,3.97,1.11,0.59,0.33,0.10,0.03,0.67,70.00,42.00,4.20,0.64,4.16,17.00,72.00,12.00,44.00,1.37,1.52,20.00,28.00,1.59,3.03,38.62,74.60,152.20,-0.35,0.13,0.44,0.20,-1.09,-0.98,-0.88,0.56,-1.87,Molecule,Hydrophobic
Fe3O4 octahedron,15.00,52.00,22.00,294.00,-1.01,11.55,182.24,11.39,10.02,17.11,11.40,38.44,0.63,1.07,0.71,3.84,16.00,10.00,15.00,9.00,2.00,11.00,3.00,0.20,6.00,4.00,0.00,4.00,2.00,42.00,172.62,45.00,124.33,4.00,4.39,1.36,1.55,0.48,24.00,4.00,12.00,31.66,24.20,0.31,436.00,1108.40,313.00,1742.70,9.89,7.44,121.00,2.69,13.99,21.80,121.00,-11.07,2.23,257.00,16.07,121.00,257.00,16.07,45.00,121.00,94.00,94.01,136.30,104.06,137.33,3.81,4.74,4.74,3.47,4.33,3.46,2.95,3.06,22.20,32.37,23.22,9.97,3.98,3.09,3.97,1.11,0.59,0.33,0.10,0.03,0.67,70.00,42.00,4.20,0.64,4.16,17.00,72.00,12.00,44.00,1.37,1.52,20.00,28.00,1.59,3.03,38.62,74.60,152.20,-0.35,0.13,0.44,0.20,-1.09,-0.98,-0.88,0.56,-1.87,Molecule,Hydrophobic
SPIONs_DMSA16,16.00,65.10,8.00,119.00,-1.01,11.55,182.24,11.39,10.02,17.11,11.40,38.44,0.63,1.07,0.71,3.84,16.00,10.00,15.00,9.00,2.00,11.00,3.00,0.20,6.00,4.00,0.00,4.00,2.00,42.00,172.62,45.00,124.33,4.00,4.39,1.36,1.55,0.48,24.00,4.00,12.00,31.66,24.20,0.31,436.00,1108.40,313.00,1742.70,9.89,7.44,121.00,2.69,13.99,21.80,121.00,-11.07,2.23,257.00,16.07,121.00,257.00,16.07,45.00,121.00,94.00,94.01,136.30,104.06,137.33,3.81,4.74,4.74,3.47,4.33,3.46,2.95,3.06,22.20,32.37,23.22,9.97,3.98,3.09,3.97,1.11,0.59,0.33,0.10,0.03,0.67,70.00,42.00,4.20,0.64,4.16,17.00,72.00,12.00,44.00,1.37,1.52,20.00,28.00,1.59,3.03,38.62,74.60,152.20,-0.35,0.13,0.44,0.20,-1.09,-0.98,-0.88,0.56,-1.87,Molecule,Hydrophobic
SPIONsDMSA21,21.00,48.70,12.00,232.00,-1.01,11.55,182.24,11.39,10.02,17.11,11.40,38.44,0.63,1.07,0.71,3.84,16.00,10.00,15.00,9.00,2.00,11.00,3.00,0.20,6.00,4.00,0.00,4.00,2.00,42.00,172.62,45.00,124.33,4.00,4.39,1.36,1.55,0.48,24.00,4.00,12.00,31.66,24.20,0.31,436.00,1108.40,313.00,1742.70,9.89,7.44,121.00,2.69,13.99,21.80,121.00,-11.07,2.23,257.00,16.07,121.00,257.00,16.07,45.00,121.00,94.00,94.01,136.30,104.06,137.33,3.81,4.74,4.74,3.47,4.33,3.46,2.95,3.06,22.20,32.37,23.22,9.97,3.98,3.09,3.97,1.11,0.59,0.33,0.10,0.03,0.67,70.00,42.00,4.20,0.64,4.16,17.00,72.00,12.00,44.00,1.37,1.52,20.00,28.00,1.59,3.03,38.62,74.60,152.20,-0.35,0.13,0.44,0.20,-1.09,-0.98,-0.88,0.56,-1.87,Molecule,Hydrophobic
SPIONsDMSA26,26.00,39.80,16.00,168.00,-1.01,11.55,182.24,11.39,10.02,17.11,11.40,38.44,0.63,1.07,0.71,3.84,16.00,10.00,15.00,9.00,2.00,11.00,3.00,0.20,6.00,4.00,0.00,4.00,2.00,42.00,172.62,45.00,124.33,4.00,4.39,1.36,1.55,0.48,24.00,4.00,12.00,31.66,24.20,0.31,436.00,1108.40,313.00,1742.70,9.89,7.44,121.00,2.69,13.99,21.80,121.00,-11.07,2.23,257.00,16.07,121.00,257.00,16.07,45.00,121.00,94.00,94.01,136.30,104.06,137.33,3.81,4.74,4.74,3.47,4.33,3.46,2.95,3.06,22.20,32.37,23.22,9.97,3.98,3.09,3.97,1.11,0.59,0.33,0.10,0.03,0.67,70.00,42.00,4.20,0.64,4.16,17.00,72.00,12.00,44.00,1.37,1.52,20.00,28.00,1.59,3.03,38.62,74.60,152.20,-0.35,0.13,0.44,0.20,-1.09,-0.98,-0.88,0.56,-1.87,Molecule,Hydrophobic
Cationic USPIOs (Fe3O4)EthylamineCationic ,7.00,55.00,–,178.00,-0.13,3.17,45.10,4.51,4.79,9.75,5.29,7.50,0.48,0.98,0.53,2.50,10.00,3.00,9.00,2.00,0.00,2.00,0.00,0.00,7.00,2.00,1.00,0.00,0.00,6.00,14.00,4.00,8.00,0.00,0.69,1.20,1.26,1.20,6.50,0.00,0.00,2.89,2.67,0.58,16.00,30.00,6.00,14.00,1.66,1.18,4.00,1.33,2.25,2.50,4.00,-1.41,1.33,5.00,2.33,4.00,5.00,2.33,3.00,4.00,3.71,3.72,4.88,3.72,5.20,1.63,1.76,1.76,1.34,1.75,1.26,0.75,0.85,1.69,0.64,4.76,2.96,1.96,2.00,1.94,1.67,0.33,0.00,0.00,0.00,1.00,6.00,5.00,1.67,0.44,0.44,2.00,2.00,1.00,5.00,0.92,0.92,0.00,0.00,0.00,2.09,14.67,26.02,26.02,-0.17,0.03,-0.30,0.09,-1.24,-1.16,-1.06,-0.20,0.91,Molecule,Hydrophobic
Fe3O4–APTSAPTSFe3O4–APTS,6.50,–,–,84.00,-1.04,24.87,454.46,12.28,26.96,39.87,28.70,98.42,0.73,1.08,0.78,3.39,37.00,29.00,40.00,32.00,25.00,47.50,3.00,0.08,8.00,16.00,1.00,9.00,3.00,172.00,587.33,212.00,316.00,31.00,19.30,1.70,1.95,0.23,67.50,16.00,60.00,139.82,126.35,0.18,7748.00,16381.33,7762.00,33858.00,25.86,21.12,1832.00,4.51,61.53,126.84,1240.62,106.08,1.78,6016.00,75.55,5544.00,43680.00,22.42,150.50,42170.00,1018.42,1018.24,1452.29,1255.10,1285.87,1.78,3.08,3.08,2.32,2.58,2.57,6.14,4.73,88.52,101.39,114.62,19.50,5.62,2.83,3.78,1.10,0.64,0.35,0.19,0.12,0.80,457.00,218.00,7.52,1.12,20.75,87.00,1141.00,75.00,110.00,1.04,2.19,216.00,126.00,4.70,0.43,95.60,197.62,222.76,0.98,0.95,-0.91,0.83,-2.22,-2.25,-2.21,-0.06,-3.60,Molecule,Hydrophobic
IONPs  (Fe3O4) (supermagnetic),8.50,15.00,18.70,122.00,-1.64,10.11,189.11,10.51,11.08,20.00,11.09,57.25,0.62,1.11,0.62,4.40,18.00,13.00,17.00,12.00,3.00,15.00,5.00,0.29,5.00,6.00,0.00,7.00,0.00,58.00,352.00,62.00,224.00,6.00,6.07,1.41,1.60,0.41,33.00,5.00,16.00,46.95,37.85,0.28,886.00,2919.00,684.00,6643.00,12.93,10.00,246.00,3.15,19.68,33.15,246.00,-17.10,2.21,593.00,23.02,246.00,593.00,23.02,78.00,246.00,211.50,211.54,290.96,211.73,307.21,4.34,4.92,4.92,3.77,4.91,3.60,4.23,3.15,41.85,61.29,34.11,11.40,3.88,3.54,3.40,0.77,0.59,0.29,0.15,0.07,1.00,108.00,63.00,4.85,0.81,6.91,24.00,180.00,23.00,63.00,1.67,1.85,86.00,0.00,2.00,0.10,28.79,140.62,140.62,-1.17,1.37,-3.43,11.75,-0.40,-0.21,-0.06,-0.97,-0.50,Molecule,Hydrophobic
DMPCHydrophil_SPIONs,5.00,55.00,"9.1
",1282.00,9.85,30.72,678.06,5.75,63.49,116.50,69.73,100.97,0.54,0.99,0.59,2.20,118.00,46.00,117.00,45.00,3.00,48.00,36.00,0.31,72.00,36.00,1.00,8.00,0.00,196.00,475.31,200.00,307.89,9.00,28.25,1.74,1.85,0.19,100.17,7.00,49.00,284.34,498.74,0.28,44010.00,58433.75,41789.00,71260.67,42.39,30.44,11471.00,11.08,75.88,178.98,11471.00,-218.99,9.13,91918.00,91.81,11471.00,91918.00,91.81,1035.00,11471.00,10229.87,10225.30,14436.62,10605.84,14704.63,4.41,5.00,5.00,3.45,4.80,3.38,5.41,5.55,57.63,642.31,245.33,45.20,30.27,33.89,29.74,1.36,0.54,0.25,0.12,0.06,0.94,2008.00,1042.00,22.65,3.59,106.84,323.00,8084.00,458.00,176.00,3.83,3.90,116.00,0.00,2.00,-0.78,183.44,111.19,121.00,3.23,10.44,8.77,76.89,-4.14,-4.39,-4.46,4.57,-7.26,Molecule,Hydrophilic
DOPCHydrophil_SPIONs,5.00,55.00,"3.4
",678.00,13.34,33.34,786.26,5.70,75.08,135.81,82.30,114.97,0.54,0.98,0.60,2.13,138.00,54.00,137.00,53.00,5.00,58.00,42.00,0.31,84.00,44.00,1.00,8.00,0.00,228.00,527.31,232.00,357.89,9.00,33.79,1.77,1.87,0.17,116.17,7.00,57.00,352.88,710.63,0.30,74114.00,97167.09,71077.00,119196.00,48.57,34.11,19187.00,13.41,89.05,217.34,19187.00,-311.52,12.08,187396.00,107.82,19187.00,187396.00,107.82,1431.00,19187.00,17181.27,17175.99,22757.48,17638.01,23180.13,4.28,4.81,4.81,3.55,4.67,3.48,5.43,5.66,61.12,840.75,304.01,52.68,37.26,41.15,36.35,1.34,0.53,0.25,0.12,0.06,0.95,2960.00,1526.00,28.26,4.68,153.37,467.00,13156.00,654.00,192.00,4.17,4.23,116.00,0.00,2.59,-0.81,222.48,111.19,121.00,4.42,19.55,11.53,132.92,-5.15,-5.52,-5.65,5.78,-7.58,Molecule,Hydrophilic
DMPCHydrophil_SPIONs,5.00,55.00,"0.9
",340.00,9.85,30.72,678.06,5.75,63.49,116.50,69.73,100.97,0.54,0.99,0.59,2.20,118.00,46.00,117.00,45.00,3.00,48.00,36.00,0.31,72.00,36.00,1.00,8.00,0.00,196.00,475.31,200.00,307.89,9.00,28.25,1.74,1.85,0.19,100.17,7.00,49.00,284.34,498.74,0.28,44010.00,58433.75,41789.00,71260.67,42.39,30.44,11471.00,11.08,75.88,178.98,11471.00,-218.99,9.13,91918.00,91.81,11471.00,91918.00,91.81,1035.00,11471.00,10229.87,10225.30,14436.62,10605.84,14704.63,4.41,5.00,5.00,3.45,4.80,3.38,5.41,5.55,57.63,642.31,245.33,45.20,30.27,33.89,29.74,1.36,0.54,0.25,0.12,0.06,0.94,2008.00,1042.00,22.65,3.59,106.84,323.00,8084.00,458.00,176.00,3.83,3.90,116.00,0.00,2.00,-0.78,183.44,111.19,121.00,3.23,10.44,8.77,76.89,-4.14,-4.39,-4.46,4.57,-7.26,Molecule,Hydrophilic
DMPC-CHOLHydrophil_SPIONs,5.00,55.00,"0.8
",230.00,9.85,30.72,678.06,5.75,63.49,116.50,69.73,100.97,0.54,0.99,0.59,2.20,118.00,46.00,117.00,45.00,3.00,48.00,36.00,0.31,72.00,36.00,1.00,8.00,0.00,196.00,475.31,200.00,307.89,9.00,28.25,1.74,1.85,0.19,100.17,7.00,49.00,284.34,498.74,0.28,44010.00,58433.75,41789.00,71260.67,42.39,30.44,11471.00,11.08,75.88,178.98,11471.00,-218.99,9.13,91918.00,91.81,11471.00,91918.00,91.81,1035.00,11471.00,10229.87,10225.30,14436.62,10605.84,14704.63,4.41,5.00,5.00,3.45,4.80,3.38,5.41,5.55,57.63,642.31,245.33,45.20,30.27,33.89,29.74,1.36,0.54,0.25,0.12,0.06,0.94,2008.00,1042.00,22.65,3.59,106.84,323.00,8084.00,458.00,176.00,3.83,3.90,116.00,0.00,2.00,-0.78,183.44,111.19,121.00,3.23,10.44,8.77,76.89,-4.14,-4.39,-4.46,4.57,-7.26,Molecule,Hydrophilic
DMPC-PSHydrophili_SPIONs,5.00,55.00,"0.8
",798.00,9.85,30.72,678.06,5.75,63.49,116.50,69.73,100.97,0.54,0.99,0.59,2.20,118.00,46.00,117.00,45.00,3.00,48.00,36.00,0.31,72.00,36.00,1.00,8.00,0.00,196.00,475.31,200.00,307.89,9.00,28.25,1.74,1.85,0.19,100.17,7.00,49.00,284.34,498.74,0.28,44010.00,58433.75,41789.00,71260.67,42.39,30.44,11471.00,11.08,75.88,178.98,11471.00,-218.99,9.13,91918.00,91.81,11471.00,91918.00,91.81,1035.00,11471.00,10229.87,10225.30,14436.62,10605.84,14704.63,4.41,5.00,5.00,3.45,4.80,3.38,5.41,5.55,57.63,642.31,245.33,45.20,30.27,33.89,29.74,1.36,0.54,0.25,0.12,0.06,0.94,2008.00,1042.00,22.65,3.59,106.84,323.00,8084.00,458.00,176.00,3.83,3.90,116.00,0.00,2.00,-0.78,183.44,111.19,121.00,3.23,10.44,8.77,76.89,-4.14,-4.39,-4.46,4.57,-7.26,Molecule,Hydrophilic
